submission_pk,User,Prediction score,Duration
496990,Ali_iDST_Deep_Learning,0.6577 (1),0.0000 (1),
482110,Novelfor,0.6572 (2),0.0000 (1),
455453,EOS_Data_Analytics,0.6560 (3),0.0000 (1),
541452,mikigom,0.6490 (4),0.0000 (1),
456999,zlckanata,0.6466 (5),0.0000 (1),
507922,yongli11,0.6457 (6),0.0000 (1),
532877,NeilWu,0.6451 (7),0.0000 (1),
536790,dapanglian,0.6436 (8),0.0000 (1),
487363,LinYi,0.6417 (9),0.0000 (1),
517688,Jack12,0.6409 (10),0.0000 (1),
542500,jinghuang,0.6376 (11),0.0000 (1),
457761,AutonomousSatelliteDrivers,0.6361 (12),0.0000 (1),
457757,jxd,0.6306 (13),0.0000 (1),
458315,maksimovka,0.6230 (14),0.0000 (1),
455831,rshvetsov,0.6223 (15),0.0000 (1),
458110,deepjoker,0.6221 (16),0.0000 (1),
458047,kr_fool,0.6218 (17),0.0000 (1),
458284,ipraznik,0.6164 (18),0.0000 (1),
456405,heisai20170724,0.6156 (19),0.0000 (1),
456632,Titannet,0.6153 (20),0.0000 (1),
458081,dtomek,0.6150 (21),0.0000 (1),
542688,monica88,0.6143 (22),0.0000 (1),
458387,littleaich,0.6143 (23),0.0000 (1),
457000,snp,0.6120 (24),0.0000 (1),
455493,liduo,0.6107 (25),0.0000 (1),
456073,eladbb,0.6085 (26),0.0000 (1),
538601,forzk,0.6077 (27),0.0000 (1),
458479,Joost,0.6066 (28),0.0000 (1),
458511,alina.marcu,0.6059 (29),0.0000 (1),
497765,Tennant,0.6049 (30),0.0000 (1),
497758,suntao1603,0.6049 (30),0.0000 (1),
455217,xuebin_ualberta,0.6041 (31),0.0000 (1),
458441,anil2185,0.6033 (32),0.0000 (1),
458480,youyanan,0.6030 (33),0.0000 (1),
458574,lvyansong,0.6025 (34),0.0000 (1),
456392,shida_he,0.6020 (35),0.0000 (1),
473597,zzy,0.6006 (36),0.0000 (1),
541771,luofan18,0.6005 (37),0.0000 (1),
454859,sshuair,0.5944 (38),0.0000 (1),
473196,bgong,0.5933 (39),0.0000 (1),
458362,vessemer,0.5923 (40),0.0000 (1),
452289,atlas,0.5911 (41),0.0000 (1),
458495,murat,0.5898 (42),0.0000 (1),
454820,andrewekhalel,0.5887 (43),0.0000 (1),
456550,nz,0.5878 (44),0.0000 (1),
449860,Fromandtozh,0.5872 (45),0.0000 (1),
492076,UnGG,0.5872 (46),0.0000 (1),
453571,fbastani,0.5869 (47),0.0000 (1),
458545,jigardoshi,0.5841 (48),0.0000 (1),
458453,geoAIgo,0.5809 (49),0.0000 (1),
455706,neneko,0.5787 (50),0.0000 (1),
456474,hama,0.5785 (51),0.0000 (1),
455939,Pepslee,0.5783 (52),0.0000 (1),
457079,naman,0.5775 (53),0.0000 (1),
457768,karimmamer,0.5718 (54),0.0000 (1),
455689,maybe_forever,0.5693 (55),0.0000 (1),
451038,nickdebu,0.5680 (56),0.0000 (1),
518321,markyangjiayi,0.5654 (57),0.0000 (1),
481802,zaoyifan,0.5615 (58),0.0000 (1),
453970,xindou,0.5610 (59),0.0000 (1),
458433,TIANCHAO,0.5541 (60),0.0000 (1),
456217,AlekseyShabanov,0.5532 (61),0.0000 (1),
454806,Lito,0.5528 (62),0.0000 (1),
451136,harveyla,0.5421 (63),0.0000 (1),
448592,CSU-DEEP-LEARNING,0.5416 (64),0.0000 (1),
506188,LoveShuffle,0.5413 (65),0.0000 (1),
456182,hehao,0.5390 (66),0.0000 (1),
535725,wyj,0.5375 (67),0.0000 (1),
456469,Tvix,0.5361 (68),0.0000 (1),
454756,fanneilyang,0.5281 (69),0.0000 (1),
453775,boris097156,0.5236 (70),0.0000 (1),
453046,songtao,0.5194 (71),0.0000 (1),
456660,ashiyasu1014,0.5162 (72),0.0000 (1),
448958,stanking,0.5147 (73),0.0000 (1),
457903,shriphani,0.5123 (74),0.0000 (1),
450591,birolkuyumcu,0.5048 (75),0.0000 (1),
502031,palefo,0.5040 (76),0.0000 (1),
450185,sk2018,0.5025 (77),0.0000 (1),
453483,trongdat3011,0.5003 (78),0.0000 (1),
448852,zijundeng,0.4924 (79),0.0000 (1),
449803,rlit,0.4834 (80),0.0000 (1),
454729,wangyupei,0.4829 (81),0.0000 (1),
454789,CSU-CHEN,0.4791 (82),0.0000 (1),
458456,nikhalster,0.4739 (83),0.0000 (1),
449037,sshekhar,0.4710 (84),0.0000 (1),
449752,kj,0.4589 (85),0.0000 (1),
456247,PeterFischer,0.4452 (86),0.0000 (1),
448560,network,0.4421 (87),0.0000 (1),
451623,ckwang,0.4319 (88),0.0000 (1),
448581,Penn,0.3671 (89),0.0000 (1),
455650,golovanov,0.3473 (90),0.0000 (1),
450284,zhuozheng,0.3436 (91),0.0000 (1),
450744,wei,0.3004 (92),0.0000 (1),
455720,Temigo,0.2959 (93),0.0000 (1),
458558,jjohnson44,0.2127 (94),0.0000 (1),
451982,sandeep,0.0467 (95),0.0000 (1),
451140,gpascualg,0.0296 (96),0.0000 (1),
451464,all_over,0.0003 (97),0.0000 (1),
541531,dingjian,0.0000 (98),0.0000 (1),
528461,AlbertShi,0.0000 (98),0.0000 (1),
524308,xavieryang,0.0000 (98),0.0000 (1),
449857,truncs,0.0000 (98),0.0000 (1),
456407,JingZhang,0.0000 (98),0.0000 (1),
